year,best_of,player_ht,player_age,player_rank,player_rank_points,opponent_ht,opponent_age,opponent_rank,opponent_rank_points,label,month,rank_diff,age_diff,height_diff,rank_points_diff,player_is_left,opponent_is_left,rounds_remaining,surface_Clay,surface_Grass,tourney_level_A,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O
2013,5,178.0,29.7,133.0,422.0,190.0,27.7,57.0,776.0,0,1,76.0,2.0,-12.0,-354.0,0,0,7,False,False,False,False,True,False,False
2013,5,180.0,26.6,90.0,577.0,173.0,29.2,95.0,568.0,1,1,-5.0,-2.599999999999998,7.0,9.0,0,0,7,False,False,False,False,True,False,False
2013,5,173.0,29.2,95.0,568.0,180.0,26.6,90.0,577.0,0,1,5.0,2.599999999999998,-7.0,-9.0,0,0,7,False,False,False,False,True,False,False
2013,5,183.0,27.8,17.0,1900.0,183.0,22.2,164.0,327.0,1,1,-147.0,5.600000000000001,0.0,1573.0,0,1,7,False,False,False,False,True,False,False
2013,5,183.0,22.2,164.0,327.0,183.0,27.8,17.0,1900.0,0,1,147.0,-5.600000000000001,0.0,-1573.0,1,0,7,False,False,False,False,True,False,False
2013,5,183.0,21.8,79.0,660.0,185.0,28.7,12.0,2430.0,1,1,67.0,-6.899999999999999,-2.0,-1770.0,0,0,7,False,False,False,False,True,False,False
2013,5,185.0,28.7,12.0,2430.0,183.0,21.8,79.0,660.0,0,1,-67.0,6.899999999999999,2.0,1770.0,0,0,7,False,False,False,False,True,False,False
2013,5,203.0,26.6,31.0,1170.0,183.0,31.0,59.0,769.0,1,1,-28.0,-4.399999999999999,20.0,401.0,0,0,7,False,False,False,False,True,False,False
2013,5,183.0,31.0,59.0,769.0,203.0,26.6,31.0,1170.0,0,1,28.0,4.399999999999999,-20.0,-401.0,0,0,7,False,False,False,False,True,False,False
2013,5,185.0,32.4,55.0,791.0,180.0,26.9,45.0,915.0,1,1,10.0,5.5,5.0,-124.0,0,0,7,False,False,False,False,True,False,False
2013,5,180.0,26.9,45.0,915.0,185.0,32.4,55.0,791.0,0,1,-10.0,-5.5,-5.0,124.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,29.1,24.0,1445.0,180.0,22.1,49.0,843.0,1,1,-25.0,7.0,8.0,602.0,1,0,7,False,False,False,False,True,False,False
2013,5,180.0,22.1,49.0,843.0,188.0,29.1,24.0,1445.0,0,1,25.0,-7.0,-8.0,-602.0,0,1,7,False,False,False,False,True,False,False
2013,5,183.0,31.6,29.0,1177.0,183.0,25.0,105.0,526.0,1,1,-76.0,6.600000000000001,0.0,651.0,1,0,7,False,False,False,False,True,False,False
2013,5,183.0,25.0,105.0,526.0,183.0,31.6,29.0,1177.0,0,1,76.0,-6.600000000000001,0.0,-651.0,0,1,7,False,False,False,False,True,False,False
2013,5,183.0,24.7,56.0,786.0,178.0,25.6,47.0,880.0,1,1,9.0,-0.9000000000000021,5.0,-94.0,0,0,7,False,False,False,False,True,False,False
2013,5,178.0,25.6,47.0,880.0,183.0,24.7,56.0,786.0,0,1,-9.0,0.9000000000000021,-5.0,94.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,22.6,92.0,574.0,188.0,26.7,296.0,153.0,1,1,-204.0,-4.099999999999998,0.0,421.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,26.7,296.0,153.0,188.0,22.6,92.0,574.0,0,1,204.0,4.099999999999998,0.0,-421.0,0,0,7,False,False,False,False,True,False,False
2013,5,196.0,27.3,6.0,4680.0,173.0,34.7,94.0,569.0,1,1,-88.0,-7.400000000000002,23.0,4111.0,0,0,7,False,False,False,False,True,False,False
2013,5,173.0,34.7,94.0,569.0,196.0,27.3,6.0,4680.0,0,1,88.0,7.400000000000002,-23.0,-4111.0,0,0,7,False,False,False,False,True,False,False
2013,5,175.0,30.7,5.0,6505.0,168.0,31.9,126.0,447.0,1,1,-121.0,-1.1999999999999993,7.0,6058.0,0,0,7,False,False,False,False,True,False,False
2013,5,168.0,31.9,126.0,447.0,175.0,30.7,5.0,6505.0,0,1,121.0,1.1999999999999993,-7.0,-6058.0,0,0,7,False,False,False,False,True,False,False
2013,5,175.0,25.0,125.0,448.0,208.0,33.8,103.0,536.0,1,1,22.0,-8.799999999999997,-33.0,-88.0,0,0,7,False,False,False,False,True,False,False
2013,5,208.0,33.8,103.0,536.0,175.0,25.0,125.0,448.0,0,1,-22.0,8.799999999999997,33.0,88.0,0,0,7,False,False,False,False,True,False,False
2013,5,180.0,24.6,84.0,633.0,183.0,23.5,184.0,279.0,1,1,-100.0,1.1000000000000014,-3.0,354.0,0,0,7,False,False,False,False,True,False,False
2013,5,183.0,23.5,184.0,279.0,180.0,24.6,84.0,633.0,0,1,100.0,-1.1000000000000014,3.0,-354.0,0,0,7,False,False,False,False,True,False,False
2013,5,183.0,27.5,35.0,1070.0,188.0,24.9,51.0,830.0,1,1,-16.0,2.6000000000000014,-5.0,240.0,0,1,7,False,False,False,False,True,False,False
2013,5,188.0,24.9,51.0,830.0,183.0,27.5,35.0,1070.0,0,1,16.0,-2.6000000000000014,5.0,-240.0,1,0,7,False,False,False,False,True,False,False
2013,5,183.0,30.5,25.0,1335.0,188.0,25.1,108.0,509.0,1,1,-83.0,5.399999999999999,-5.0,826.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,25.1,108.0,509.0,183.0,30.5,25.0,1335.0,0,1,83.0,-5.399999999999999,5.0,-826.0,0,0,7,False,False,False,False,True,False,False
2013,5,185.0,22.6,82.0,637.0,178.0,27.9,99.0,557.0,1,1,-17.0,-5.299999999999997,7.0,80.0,0,0,7,False,False,False,False,True,False,False
2013,5,178.0,27.9,99.0,557.0,185.0,22.6,82.0,637.0,0,1,17.0,5.299999999999997,-7.0,-80.0,0,0,7,False,False,False,False,True,False,False
2013,5,183.0,29.9,68.0,720.0,,25.7,156.0,351.0,1,1,-88.0,4.199999999999999,,369.0,0,0,7,False,False,False,False,True,False,False
2013,5,,25.7,156.0,351.0,183.0,29.9,68.0,720.0,0,1,88.0,-4.199999999999999,,-369.0,0,0,7,False,False,False,False,True,False,False
2013,5,178.0,23.0,18.0,1870.0,198.0,31.4,63.0,753.0,1,1,-45.0,-8.399999999999999,-20.0,1117.0,0,0,7,False,False,False,False,True,False,False
2013,5,198.0,31.4,63.0,753.0,178.0,23.0,18.0,1870.0,0,1,45.0,8.399999999999999,20.0,-1117.0,0,0,7,False,False,False,False,True,False,False
2013,5,183.0,27.4,11.0,2515.0,188.0,23.0,175.0,302.0,1,1,-164.0,4.399999999999999,-5.0,2213.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,23.0,175.0,302.0,183.0,27.4,11.0,2515.0,0,1,164.0,-4.399999999999999,5.0,-2213.0,0,0,7,False,False,False,False,True,False,False
2013,5,185.0,27.4,71.0,704.0,191.0,30.6,76.0,675.0,1,1,-5.0,-3.200000000000003,-6.0,29.0,0,0,7,False,False,False,False,True,False,False
